"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"
"CHC195T"	-0.0356485024182297	0.005515613612206	-0.00901611347504874	0.0226893478731639	0.0560660101924569	-0.00949830553474543	0.0114120746263601	0.069115556479856	0.018764139368182	-0.0437767331124146	-0.00603916120886004	-0.0449552946406127	0.0138930340878552	0.0486638629762701	0.0252287486929838	0.00161961774888134	-0.000437865245716075	0.021482912158973	-0.00843457498057602	0.0108836361559655
"CHC1196T"	-0.0228569701259926	0.0127060806000964	0.00138611322325723	0.0689820223687603	-0.0436268702581504	-0.0670214533365679	-0.000517899884799441	0.0295058852738495	0.0635730379342855	-0.0577229456340755	-0.0222099198124678	-0.0961980973232065	-0.0282125406514547	0.0148019418446764	0.00709045965613866	0.076509712376008	-0.00364386622161565	0.0201385864683019	0.021879503968795	-0.113705921845809
"CHC398T"	-0.0342784303978972	-7.00367920534834e-05	0.0148202658736018	0.0570290224239753	-0.0198677371027812	-0.0351394503022608	0.00907152964343465	0.0529769160059902	0.0366009976557818	-0.0476714945546045	-0.0121990330004574	-0.0799494386237119	-0.0164764118592423	0.0193482103403981	0.0143522212400709	0.0507010924518833	-0.00573214152198124	0.0167763154764856	0.0377918517877229	-0.0731297360490981
"CHC1010T"	-0.0311213894615945	-0.000667607939760489	0.0671722485040989	0.016068477094582	-0.0342146615741055	-0.0316054007458866	-0.0142146167684623	0.0336236657203846	0.0523323476018652	-0.0709210807344109	-0.0120809583572458	-0.0500240846748955	-0.0155432901247055	0.0266769772432025	0.000166465371662827	0.0863309288498058	0.026490658714567	0.011795887213001	0.0366397866993815	-0.122403157345903
"CHC1035T"	-0.0400088480735053	0.00110164268129561	0.00721054920340193	0.0469131725427338	0.0152014447223544	-0.0106386762792842	-0.0332354604555423	0.0539402983291568	0.0326137789328166	-0.0320187745523836	-0.023438638942939	-0.0490387345409776	-0.00220681147738022	0.0391268947554828	0.0163606335854004	0.0664855015829071	0.00684248528407065	0.0211968915147936	-0.000900674516844932	-0.0377586221937766
"CHC1040T"	-0.0423470729955802	-0.0576648984386398	0.0129149687904857	-0.0013605164437807	0.0944755041543711	-0.00580248622848221	0.0214626939088554	0.0776461925967537	-0.0231560081739452	0.0141580185005068	0.0144953489199214	0.0148755856970481	-0.0258602557507958	0.0111092271758154	-0.0393066296533762	-0.0581385267147568	-0.0699290998977617	0.022983909271758	-0.0254220213275932	0.076031022792992
"CHC1041T"	-0.015297176037905	0.0341184718462642	-0.0233834282900146	0.0174606201514824	0.0788242011454098	0.00828592364796786	0.0706571748135487	0.0752382864510225	0.0521564823805176	-0.0214686682692814	0.0374847114682889	-0.0427993102042117	-0.041653076251315	0.0521181173775995	-0.0607355431693529	-0.0534013529789235	-0.024644508271911	-0.0548122280110036	-0.0114889262847943	0.0219185024175148
"CHC1044T"	-0.0622476252024312	-0.00740018684643401	0.0777555386675868	0.0271415431081094	0.0236665088094671	0.00653388030221675	-0.0235388294267378	0.0341476415956678	-0.0413010527532283	-0.0547933655798245	0.0137463861513187	0.0274423970799647	-0.0272301453965862	0.049358475780511	-0.00484250932896117	0.0326631474503067	0.0189753193521418	-0.0228961289769914	0.0536794066909121	-0.0248360146108407
"CHC1052T"	-0.00835364288335096	-0.00177017902369557	-0.0475630474717642	0.00102744828184448	0.117968208438847	-0.00751612987983202	0.0225336018790374	0.0295835745153659	-0.0051908025793031	-0.00733508769809868	0.0260884081990441	-0.0136539423613393	-0.0138479043851238	0.0273224608608949	0.0163475418403907	-0.0672000982655825	-0.0162487100280094	0.000881300487652219	-0.0105779912483212	0.0720032451469186
"CHC1055T"	-0.0223337106283436	-0.0302754032706322	0.0264328852590722	0.0219567942252441	0.0715917599423596	-0.066829835065409	-0.00928123487341343	0.0174507680930704	-0.023339722279622	0.000566090479826448	-0.0351375198334358	-0.0315763402124902	-0.0406169023653436	-0.000641775020505053	0.031087257339596	-0.00875090157928207	-0.037771183690067	-0.036713372364642	-0.0115895359701479	0.0187534677632787
